PKEY|CON_ID|OWNER|TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DMA_SOURCE_ID|DMA_MANUAL_ID
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|Month Name|VARCHAR2|36|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|Year|VARCHAR2|42|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|MINUTES|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|OBJECT_ID|NUMBER|22|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|OWNER|VARCHAR2|30|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|OBJECT_NAME|VARCHAR2|30|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|OBJECT_TYPE|VARCHAR2|19|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|TBL_TEST_FUNCTIONAL_INDEX_1|COL_1|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|TBL_TEST_FUNCTIONAL_INDEX_1|COL_2|DATE|7|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|TBL_TEST_FUNCTIONAL_INDEX_1|COL_3|VARCHAR2|1|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOGGING_TABLE|CODE|NUMBER|22||0|Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOGGING_TABLE|TEXT|VARCHAR2|4000|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOGGING_TABLE|CREATED_ON|DATE|7|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOGGING_TABLE|CREATED_BY|VARCHAR2|100|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Dy|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Hr|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Mi|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Sec|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Tdy|NUMBER|22||0|Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Thr|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Tmi|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|Tsec|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_ORA_FUNC|dt|VARCHAR2|29|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEST_TAB|OBJECT_ID|NUMBER|22|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEST_TAB|OWNER|VARCHAR2|30|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEST_TAB|OBJECT_NAME|VARCHAR2|30|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEST_TAB|OBJECT_TYPE|VARCHAR2|19|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|MY_TEMP_TABLE|ID|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
