pkey,con_id,owner,table_name,column_name,data_type,data_length,data_precision,data_scale,nullable,dma_source_id,dma_manual_id
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_HISTORY,END_DATE,TIMESTAMP WITHOUT TIME ZONE,,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_HISTORY,DEPARTMENT_ID,SMALLINT,,16,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS,LOCATION_ID,SMALLINT,,16,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS,DEPARTMENT_ID,SMALLINT,,16,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS,MANAGER_ID,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS,LOCATION_ID,SMALLINT,,16,0,YES,Postgres,
dms-test_2024-06-13094240,1,SAMET,TEST,A,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,SAMET,TEST,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2,COL_1,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2,COL_2,TIMESTAMP WITHOUT TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2,COL_4,TIMESTAMP WITHOUT TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,EMPLOYEE_ID,NUMERIC,,6,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,MANAGER_ID,NUMERIC,,6,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,DEPARTMENT_ID,NUMERIC,,4,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,LOCATION_ID,NUMERIC,,4,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL1_NUMBER_INT,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,COMMISSION_PCT,NUMERIC,,2,2,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,ORIGINAL DATE,TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,MINUTES,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,HOURS,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,DAYS,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,MONTHS,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,YEARS,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,ORIGINAL DATE,TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,"DATE, TIME REMOVED",TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,START OF WEEK,TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,START OF MONTH,TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,START OF YEAR,TIMESTAMP WITH TIME ZONE,,,,YES,Postgres,
